type,title,micro_summary,summary,tags,access_mode,url
bgu_links,לקריאת הכתבה,לקריאת הכתבה,לקריאת הכתבה,main,public,https://bgu.ac.il/articles/from-the-periphery-to-the-professor
bgu_links,לקריאת הכתבה,לקריאת הכתבה,לקריאת הכתבה,main,public,https://bgu.ac.il/articles/not-just-snoring-obstructive-sleep-apnea-damages-muscles
bgu_links,סמסטר אביב בבן-גוריון,סמסטר אביב בבן-גוריון,סמסטר אביב בבן-גוריון,main,public,https://bgu.ac.il/welcome/contents/spring-semester/spring-semester
bgu_links,"עתודאים, התפקדו!","עתודאים, התפקדו!","עתודאים, התפקדו!",main,public,https://bgu.ac.il/welcome/contents/idf/atuda-studies
bgu_links,"תואר ראשון בהנדסת בניין שילוב של ידע מדעי והנדסי עם יישומים מעשיים, להכשרת מהנדסות ומהנדסים שיובילו תהליכי תכנון, בנייה וניהול פרויקטים מתקדמים.","תואר ראשון בהנדסת בניין שילוב של ידע מדעי והנדסי עם יישומים מעשיים, להכשרת…","תואר ראשון בהנדסת בניין שילוב של ידע מדעי והנדסי עם יישומים מעשיים, להכשרת…",main,public,https://bgu.ac.il/welcome/ba/catalog/categories/building-and-construction-engineering
bgu_links,אגף המחשוב והסייבר,אגף המחשוב והסייבר,אגף המחשוב והסייבר,quick_links,public,https://bgu.ac.il/u/admin/computing
bgu_links,אגף השיווק,אגף השיווק,אגף השיווק,quick_links,public,https://bgu.ac.il/u/admin/marketing
bgu_links,אגף כספים,אגף כספים,אגף כספים,quick_links,public,https://bgu.ac.il/u/admin/finance
bgu_links,אגף תכנון תקצוב וכלכלה,אגף תכנון תקצוב וכלכלה,אגף תכנון תקצוב וכלכלה,quick_links,public,https://bgu.ac.il/u/admin/budgeting
bgu_links,אגף תפעול,אגף תפעול,אגף תפעול,quick_links,public,https://bgu.ac.il/u/admin/logistics
bgu_links,"אופ""ק | אוניברסיטה פעילה בקהילה","אופ""ק | אוניברסיטה פעילה בקהילה","אופ""ק | אוניברסיטה פעילה בקהילה",quick_links,public,https://in.bgu.ac.il/ofek/Pages/default.aspx
bgu_links,אותות פרסים והוקרות,אותות פרסים והוקרות,אותות פרסים והוקרות,quick_links,public,https://bgu.ac.il/awards-and-honors
bgu_links,אחרי שהתקבלת - כל מה שצריך לדעת לפני הלימודים,אחרי שהתקבלת - כל מה שצריך לדעת לפני הלימודים,אחרי שהתקבלת - כל מה שצריך לדעת לפני הלימודים,quick_links,public,https://bgu.ac.il/welcome/ba/accepted
bgu_links,אירועים,אירועים,אירועים,quick_links,public,https://bgu.ac.il/events
bgu_links,אירועים,אירועים,אירועים,quick_links,public,https://in.bgu.ac.il/pages/event-list.aspx
bgu_links,אפיקי מעבר,אפיקי מעבר,אפיקי מעבר,quick_links,public,https://bgu.ac.il/welcome/blog/articles/transfer-tracks
bgu_links,"בית הספר הבין-לאומי ללימודי מדבר ע""ש אלברט כץ","בית הספר הבין-לאומי ללימודי מדבר ע""ש אלברט כץ","בית הספר הבין-לאומי ללימודי מדבר ע""ש אלברט כץ",quick_links,public,https://bgu.ac.il/u/sde-boker/bidr/school/akis
bgu_links,בית הספר למדעי המוח ולקוגניציה,בית הספר למדעי המוח ולקוגניציה,בית הספר למדעי המוח ולקוגניציה,quick_links,public,https://bgu.ac.il/u/faculties/interdisciplinary/schools/brain-sciences-cognition
bgu_links,"בית הספר לקיימות ושינויי אקלים ע""ש גולדמן זוננפלד","בית הספר לקיימות ושינויי אקלים ע""ש גולדמן זוננפלד","בית הספר לקיימות ושינויי אקלים ע""ש גולדמן זוננפלד",quick_links,public,https://bgu.ac.il/u/faculties/interdisciplinary/schools/sustainability-climate-change
bgu_links,בית-ספר קרייטמן ללימודי מחקר מתקדמים,בית-ספר קרייטמן ללימודי מחקר מתקדמים,בית-ספר קרייטמן ללימודי מחקר מתקדמים,quick_links,public,https://bgu.ac.il/u/academic-affairs/kreitman-school
bgu_links,גלריית הסנאט,גלריית הסנאט,גלריית הסנאט,quick_links,public,https://bgu.ac.il/u/faculties/humanities-and-social-sciences/departments/arts/senate-gallery
bgu_links,גלריית טרומפלדור,גלריית טרומפלדור,גלריית טרומפלדור,quick_links,public,https://bgu.ac.il/u/faculties/humanities-and-social-sciences/departments/arts/trumpeldor-gallery
bgu_links,דיקנים ומנהלים,דיקנים ומנהלים,דיקנים ומנהלים,quick_links,public,https://bgu.ac.il/u/academic-affairs/acadsec/management-deans
bgu_links,האוניברסיטה והקהילה,האוניברסיטה והקהילה,האוניברסיטה והקהילה,quick_links,public,https://bgu.ac.il/community-engagement
bgu_links,הארכיונים לספרות עברית,הארכיונים לספרות עברית,הארכיונים לספרות עברית,quick_links,public,https://bgu.ac.il/u/research-centers/heksherim/hebrew-archives/hebrew-literature-archives
bgu_links,הודעות,הודעות,הודעות,quick_links,public,https://bgu.ac.il/announcements
bgu_links,הוועד המנהל,הוועד המנהל,הוועד המנהל,quick_links,public,https://bgu.ac.il/u/management/executive-committee
bgu_links,היחידה לביואינפורמטיקה,היחידה לביואינפורמטיקה,היחידה לביואינפורמטיקה,quick_links,public,https://in.bgu.ac.il/en/bioinfo/Pages/default.aspx
bgu_links,היחידה לקידום איכות ההוראה והלמידה,היחידה לקידום איכות ההוראה והלמידה,היחידה לקידום איכות ההוראה והלמידה,quick_links,public,https://bgu.ac.il/u/academic-affairs/academicdev
bgu_links,"המכונים לחקר המדבר ע""ש יעקב בלאושטיין","המכונים לחקר המדבר ע""ש יעקב בלאושטיין","המכונים לחקר המדבר ע""ש יעקב בלאושטיין",quick_links,public,https://bgu.ac.il/u/sde-boker/bidr
bgu_links,המרכז ללימודים קדם אקדמיים (מכינות),המרכז ללימודים קדם אקדמיים (מכינות),המרכז ללימודים קדם אקדמיים (מכינות),quick_links,public,https://bgu.ac.il/welcome/kdam
bgu_links,המרכז לפיתוח קריירה,המרכז לפיתוח קריירה,המרכז לפיתוח קריירה,quick_links,public,https://in.bgu.ac.il/Dekanat/career/Pages/default.aspx
bgu_links,המשרד להוגנות מגדרית,המשרד להוגנות מגדרית,המשרד להוגנות מגדרית,quick_links,public,https://bgu.ac.il/u/vp/gender-equity
bgu_links,הנופלים במערכות ישראל וחללי פעולות האיבה​ מקהילת האוניברסיטה,הנופלים במערכות ישראל וחללי פעולות האיבה​ מקהילת האוניברסיטה,הנופלים במערכות ישראל וחללי פעולות האיבה​ מקהילת האוניברסיטה,quick_links,public,https://bgu.ac.il/general/in-memoriam
bgu_links,הפקולטה למדעי הבריאות,הפקולטה למדעי הבריאות,הפקולטה למדעי הבריאות,quick_links,public,https://bgu.ac.il/u/faculties/health-sciences
bgu_links,הפקולטה למדעי ההנדסה,הפקולטה למדעי ההנדסה,הפקולטה למדעי ההנדסה,quick_links,public,https://bgu.ac.il/u/faculties/engineering
bgu_links,הפקולטה למדעי הטבע,הפקולטה למדעי הטבע,הפקולטה למדעי הטבע,quick_links,public,https://bgu.ac.il/u/faculties/natural-sciences
bgu_links,"הפקולטה למדעי המחשב והמידע ע""ש שטיין","הפקולטה למדעי המחשב והמידע ע""ש שטיין","הפקולטה למדעי המחשב והמידע ע""ש שטיין",quick_links,public,https://bgu.ac.il/u/faculties/computer-and-information-science
bgu_links,"הצהרת אחריות חברתית, צדק ושיוויון לכל הקבוצות בחברה הישראלית","הצהרת אחריות חברתית, צדק ושיוויון לכל הקבוצות בחברה הישראלית","הצהרת אחריות חברתית, צדק ושיוויון לכל הקבוצות בחברה הישראלית",quick_links,public,https://bgu.ac.il/general/equality
bgu_links,השתלמות בתר-דוקטור,השתלמות בתר-דוקטור,השתלמות בתר-דוקטור,quick_links,public,https://bgu.ac.il/welcome/contents/pre-registration/postdoctoral-research
bgu_links,התוכנית לסטטיסטיקה וניתוח נתונים,התוכנית לסטטיסטיקה וניתוח נתונים,התוכנית לסטטיסטיקה וניתוח נתונים,quick_links,public,https://bgu.ac.il/u/faculties/interdisciplinary/schools/statistics-data-analysis
bgu_links,התכנית האקדמית של קורס טיס,התכנית האקדמית של קורס טיס,התכנית האקדמית של קורס טיס,quick_links,public,https://in.bgu.ac.il/flight/Pages/default.aspx
bgu_links,חבר הנאמנים,חבר הנאמנים,חבר הנאמנים,quick_links,public,https://bgu.ac.il/u/management/board
bgu_links,חדשות,חדשות,חדשות,quick_links,public,https://bgu.ac.il/articles
