מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025A,2025B,2024A,2024B,2023A,2023B,2022A,2022B
36114061,תכנון מעגלי תקשורת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114591,אנטנות וקרינה,,,63.78,Label Not Found,75.17,Label Not Found,70.63,Label Not Found,80.67,Label Not Found
36122210,יסודות האופטימיזציה,,,78.54,Label Not Found,81.49,82.09,Label Not Found,Label Not Found,Label Not Found,76.42
36114701,תקשורת אופטית,,,80.14,Label Not Found,84.08,Label Not Found,81.3,Label Not Found,79.77,Label Not Found
36126451,תורת השערוך,,,Label Not Found,67.11,Label Not Found,78.24,62.28,Label Not Found,Label Not Found,Label Not Found
36114711,בטיחות רשתות,,,85.72,85.15,91.02,86.46,83.87,Label Not Found,85.68,Label Not Found
36114911,רשתות תקשורת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,81.75
36114971,תקשורת ספרתית בערוצי רדיו,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114011,תכנון מערכות שידו ר-קליטה אלחוטיות,,,Label Not Found,89.07,Label Not Found,90.89,Label Not Found,86.2,Label Not Found,81.62
36120330,נושאים נבחרים בתקשורת רשתות,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,88.0
36125861,קידוד למערכות מאולצות,,,Label Not Found,Label Not Found,Label Not Found,98.75,Label Not Found,Label Not Found,Label Not Found,90.28
36122260,מבוא ללמידה עמוקה,,,Label Not Found,88.82,Label Not Found,Label Not Found,91.89,Label Not Found,92.73,Label Not Found
36125931,תקשורת ניידת ולוינית,,,Label Not Found,92.0,Label Not Found,89.26,Label Not Found,89.73,Label Not Found,91.41
36125571,רשתות תקשורת אופטיות,,,93.97,Label Not Found,92.45,Label Not Found,93.26,Label Not Found,Label Not Found,Label Not Found
36122290,"הסתברות דיסקרטית לאינפורמציה, ביג דאטה ולמידת מכונה",,,Label Not Found,Label Not Found,88.4,Label Not Found,92.55,Label Not Found,95.35,Label Not Found
36125901,תקשורת ספרתית אלחוטית,,,90.04,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36126251,תורת הקידוד,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,80.0,87.95,Label Not Found
36126461,סדרות ספרתיות,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,82.0,Label Not Found,Label Not Found,Label Not Found
36125981,קודים אקראיים בתקשורת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37121814,תורת המידע לרשתות,,,Label Not Found,89.25,91.67,Label Not Found,88.8,Label Not Found,85.88,Label Not Found
37110401,אבטחת מידע ונתונים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,71.92
36125691,אשכול ולמידה ממוחשבת בלתי מודרכת,,,Label Not Found,Label Not Found,Label Not Found,94.35,Label Not Found,94.13,Label Not Found,91.15
