מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025 A,2025 B,2024 A,2024 B
36512121,תרמודינמיקה 2,4.0,36512111,Label Not Found,88.92,,82.25
36512323,מעבדת חומרים2,1.5,36512313,Label Not Found,92.73,,91.11
36512211,תהליכים 1,3.5,"36512111, 36512121",82.92,Label Not Found,89.78,84.75
36513842,מעבר חום וחומר,3.5,"20119171, 20312421, 36512111",78.54,Label Not Found,76.53,74.7
36513313,מעבדת חומרים3,1.5,36512323,94.08,Label Not Found,96,
36514005,כימיה ש ל חומרים,3.5,"20411571, 36513841, 36512121, 20312421",79.48,Label Not Found,89.66,72.75
36513025,מטלורגיה פיסיקלית מתקדמת,3.5,"36512121, 36513015",88.13,Label Not Found,93.35,98.33
36513142,תכונות אלקטרוניות של חומרים,2.5,36513841,76.25,Label Not Found,91.35,
36514791,חומרים קרמיים,3.5,"36512011, 36512121",78.51,Label Not Found,,
37111672,תכנות הנדסי בשפת פייתון,4.0,,Label Not Found,Label Not Found,75.96,
36512221,תהליכים2,3.0,"36512211, 36511021, 36512011",Label Not Found,83.42,,88.13
36513122,תכונות מכניות של חומרים,3.5,"36513123, 36512011",Label Not Found,87.15,,85.94
36513211,פולימרים,3.5,,Label Not Found,93.33,,91.94
36513323,מעבדת חומרים4,1.5,36513313,Label Not Found,93.78,,94.88
36513471,אפיון חומרים,3.5,"36511021, 36512011",Label Not Found,93.5,,84.87
36514996,חומרים במבנה ננומטרי ושימושים טכנולוגיים,2.5,"20312421, 36513841",Label Not Found,78.58,,75
36514771,התנהגות סביבתית,3.5,20411571,Label Not Found,83.33,,87.63
36513491,בחירת חומרים,3.0,"36511021, 36512011, 36513015, 36513123",93.4,Label Not Found,,
36514023,מעבדת חומרים מתקדמת6,1.5,36513323,91.34,Label Not Found,92.24,
36514141,התקני מוליכים למחצה ומבנה,3.5,"36513142, 20312421",Label Not Found,78.23,80.59,
36514131,טכנולוגיה מוליכים למחצה,3.0,,83.23,Label Not Found,95.13,
36514153,מעבדת מוליכים למחצה,1.5,,93.21,Label Not Found,94.47,
36514343,מעבדה טכנולוגית והתקנים מיקרו אלקטרוניים,1.5,36514153,Label Not Found,93.54,,95.67
36514891,חומרים אופטואלקטרוניים,,,93.4,Label Not Found,,
36514997,מבוא להנדסת חומרים חישובית,,,84.31,Label Not Found,93.25,
36514008,גשרים בין אומנות מתמתיקה ומדעי הטבע: פולרינים מבנים פוליהדרלים וסימטריה,,,96.73,Label Not Found,98.12,
36514002,עקרונות ושיטות ניסוייות במדע והנדסת החומרים,,,92.42,Label Not Found,89.04,
37214509,ישומי בינה מלאכותית וכריית מידע להנדסה,,,85.38,Label Not Found,90.54,
36515004,טיפולי פני שטח לשיפור תכונות החומר,,,Label Not Found,Label Not Found,,
36514994,תופעות טרנספורט בחומרים,,,Label Not Found,83.64,,92.1
36514007,חשיבה הנדסית,,,Label Not Found,96.64,,95.25
36514411,בדיקות אל הרסניות,,,Label Not Found,79.77,,75.44
36515003,"מבוא לשיטות מטרולוגיה ובקרת תהליכים בטכנולוגיית מל""מ",,,Label Not Found,Label Not Found,,
36411251,ניהול פרוייקטים,3,,86.36,86.83,87.08,89.4
36411071,תכנון ניסויים וניתוח שונות,3.5,,87.59,Label Not Found,88.7,
36714871,ביוסנסורים,3,,93.93,Label Not Found,94.81,
36714531,ביו אלקטרוכימיה,3.5,,Label Not Found,Label Not Found,,
90010064,יזמות וחדשנות בפיתוח טכנולוגיות בתחומי הרפואה והבריאות,3,,93.96,93.18,94.54,
20411111,מבוא לכימיה אנליטית א,4.0,,66.0,Label Not Found,74.26,
20411121,כימיה כללית א,5.0,,70.26,Label Not Found,68.89,
36311011,מבוא להנדסה כימית,2.5,,75.19,Label Not Found,86.04,
20414271,כימיה אורגנית להנדסה כימית א-1,4.0,20411121,Label Not Found,69.95,,73.28
36311021,מאזני חומר ואנרגיה,4.0,36311011,Label Not Found,59.43,,53.95
36311051,מבוא לתכנות למהנדסים בפייתון,3.5,,Label Not Found,77.3,,
36312051,התא,2.5,,Label Not Found,74.83,,80
20119271,מבוא למשוואות דיפרנציאליות רגילות להנדסה כימית,4.5,"20119721, 20119321",80.39,Label Not Found,83.17,
20311563,מעבדה א1 בפיסיקה לתלמידי הנדסה כימית,1.5,20311391,86.98,Label Not Found,88.24,
20411133,כימיה כללית ואנליטית מעבדה להנדסה כימית,3.0,20411111,85.95,Label Not Found,86.26,
20415271,כימיה אורגנית להנדסה כימית א2,2.5,20414271,73.18,Label Not Found,78.46,
36312041,עקרונות פיסיקליים בהנדסה כימית,3.5,"20311491, 20311391, 36311021",72.68,Label Not Found,78.63,
36313051,תרמודינמיקה1,4.0,"36311021, 20411121",76.61,Label Not Found,83.12,
20412743,כימיה אורגנית מעבדה ב,2.5,"20411133, 20413271",Label Not Found,86.93,,86.51
20412881,כימיה פיסיקלית לתלמידי הנדסה כימית וננוטכנולוגיה,2.5,"20119711, 20411121",Label Not Found,86.27,,89.81
36213071,שיטות סטטיסטיות בהנדסה,4.0,20119721,Label Not Found,81.84,,
36312011,תופעות מעבר להנדסה כימית 1: מעבר תנע,5.0,"36311021, 20119271, 20311391, 36312041",Label Not Found,79.35,,67
36313061,תרמודינמיקה 2,4.0,36313051,Label Not Found,77.18,,70
20412561,מבוא לאלקטרו כימיה שימושית,2.5,"20119721, 20311491, 20412881, 20412431",90.16,Label Not Found,92,
36312021,תופעות מעבר להנדסה כימית 2: מעבר חום,4.0,"36312011, 20311491, 36313061",78.06,Label Not Found,84,
36313011,תופעות מעבר להנדסה כימית 3: מעבר חומר,4.0,36312021,67.24,Label Not Found,76,
36313161,מבוא לחומרים,3.5,36313061,85.03,Label Not Found,91,
36313561,אנליזה נומרית בהנדסה כימית,2.5,36311051,Label Not Found,Label Not Found,,
36912051,עקרונות ביוכימיה א' לביוטכנולוגיה,3.5,20415271,85.69,Label Not Found,82,
20412643,כימיה פיסיקלית מעבדהב,2.0,"20311491, 20411133",Label Not Found,93.41,,92.36
36313023,מעבדה בהנדסה כימית 1,2.0,36312021,Label Not Found,93.43,,91.7
36313231,תכנון וניתוח של ריאקטורים,4.0,"36313011, 36313061",Label Not Found,65.61,,72.54
36314081,תהליכי הפרדה בהנדסה כימית,4.0,36313011,Label Not Found,87.64,,75.4
36314561,מבוא לתורת הפולימרים,3.5,"20415271, 36313061",Label Not Found,80.2,,82
36313033,מעבדה בהנדסה כימית2,2.0,"36314081, 36313231, 36313023",91.18,Label Not Found,,
36314011,דינמיקה ובקרה,2.5,"20119271, 36312021",82.14,Label Not Found,,86.3
36314061,תכנון תהליכים ופרויקט הנדסי1,3.5,"36313011, 36313231",96.19,Label Not Found,96.45,
36314033,מעבדה לבקרה,2.0,36314011,Label Not Found,85.74,,87.5
36314071,תכנון תהליכים ופרויקט הנדסי2,3.5,36314061,Label Not Found,94.4,,96.18
68110043,מבוא להתנהגות ארגונית מיקרו,3.0,,80.07,Label Not Found,83.57,
68110123,אתיקה בהנדסה,1.0,,Label Not Found,83.47,,85.6
68110265,Basic Entrepreneurship Course**,2.0,,Label Not Found,83.39,,87.7
68112041,מבוא לשיווק,3.0,,84.21,85.05,84.3,91.3
36313201,חומרים מוליכים למחצה מבנה ותכונות,3.0,,Label Not Found,94.31,,90
36313202,כימיה של המים בהנדסה כימית סביבתית,3.0,"20412881, 36311021",Label Not Found,Label Not Found,88.9,
36313482,מבוא להנדסה אלקטרוכימית ואנרגיה במאה ה- 12,3.0,,Label Not Found,75.38,,92.10
20412431,אור וגלים – קדם לספקטרוסקופיה למהנדסים כימיים** + ***,2.5,"20119721, 20311491",88.38,Label Not Found,86.67,
36313261,גיבוש מתמיסות וביומינרליזציה,3.0,36313011,Label Not Found,91.6,,93.9
36313341,מבוא להנדסת ביוחומרים,3.0,36313061,Label Not Found,90.59,,
36914082,ביוראקטורים ב',3.0,36313231,Label Not Found,84.41,,84
36314153,עבודת מחקר לתלמידי הסמכה 1,4.5,"36313011, 36314173",95.57,Label Not Found,93.2,
36314163,עבודת מחקר לתלמידי הסמכה 2,4.5,36314153,Label Not Found,95.57,,93.2
36314173,מבוא לחשיבה מדעית ביקורתית,3.0,,Label Not Found,99.2,,96.8
36313203,מדעי הנתונים ושיטות סטטיסטיות עם למידת מכונה לפתרון בעיות תעשייתיות,3.0,36213071,Label Not Found,Label Not Found,,
68110252,יזמות היי-טק,3.0,,Label Not Found,83.69,,83.9
68110254,"סדנה בינ""ל בייעוץ אסטרטגי במסגרת הקורס יזמות הייטק",2.0,,Label Not Found,90.55,,
90010063,יזמות וחדשנות בבעיות הנדסיות וניהוליות,3.0,,Label Not Found,Label Not Found,,
36313071,מבוא להתקנים של מיקרואלקטרוניקה,3.0,,Label Not Found,Label Not Found,,91.33
36313351,המרת אנרגיה אלקטרוכימית,3.0,,Label Not Found,Label Not Found,,
36313471,מבוא למשטחים פונקציונליים ננומטריים ומולקולריים,3.0,,Label Not Found,Label Not Found,95.32,
36323161,ננוחומרים,3.0,,Label Not Found,Label Not Found,,95
36323163,התארגנות עצמית של חומרים מולקולריים וקולואידים,3.0,,No Grade Found,Label Not Found,,
36610102,מבוא לתורת הכורים הגרעיניים,3.5,,88.03,Label Not Found,96.48,
36610106,תהליכים כימיים במעגל הדלק הגרעיני,3.0,,Label Not Found,Label Not Found,,
36713461,תיכון אלמנטיים סופיים,3.0,,88.88,Label Not Found,90.76,
36912171,מיקרוביולוגיה של מים,3.0,,Label Not Found,89.75,,89.4
37625011,בקרת זיהום מים,3.0,,92.64,Label Not Found,90.2,
37626231,תהליכי ממברנות,3.0,,Label Not Found,94.11,,91.17
37627111,בקרת זיהום אוויר א',3.0,,92.0,Label Not Found,92.57,
37822039,חיבור מים ואנרגיה,3.0,,96.4,Label Not Found,,94.6
36313431,פיסיקה של מערכות חיידקים מורכבות,3.0,,94.5,Label Not Found,,
36325501,ביופולימרים,3.0,,Label Not Found,Label Not Found,,
